Project Location,Type,Organization/Artist Name,Street Address,City,State,ZIP Code,OSM ID,Longitude,Latitude
"Antioch Middle School, 5050 Blue Hole Rd, Antioch, TN 37013",house,Creative Code Américas,5050 Blue Hole Rd,Antioch,TN,37013,64110175,-86.672419 , 36.056908
"Harpeth Hall, studio space, 3801 Hobbs Rd",house,Rebecca Hoback and Ben Green,3801 Hobbs Rd,Nashville,TN,37215,19477770,-86.840497 , 36.103441
"Elizabeth Park Senior Citizen Center, Nursing Home
1701 Arthur Ave.",house,Ashley Mintz,1701 Arthur Ave,Nashville,TN,37208,19450384,-86.803434 , 36.179199
"Library, performance/talkback site, 615 Church St",house,Rebecca Hoback and Ben Green,615 Church St,Nashville,TN,37219,245915230,-86.78201 , 36.162365
"2. South East Community Center, 5260 Hickory Hollow Pkwy #202, Antioch, TN 37013",secondary,Rashad Donaldson,5260 Hickory Hollow Pkwy,Antioch,TN,37013,19464527,-86.657263 , 36.048466
Salama Urban Ministries,house,Rebecca Alexander,1205 8th Ave S,Nashville,TN,37203,309316022,-86.778639 , 36.141282
"Mount Zion Baptist Church
1112 Jefferson Street, Nashville TN ,37208",house,Karimah Miller,1112 Jefferson Street,Nashville,TN,37208,747349810,-86.79794 , 36.171651
"Southern Festival of Books, workshop site, 600 Church St",house,Rebecca Hoback and Ben Green,600 Church St,Nashville,TN,37219,245915230,-86.781688 , 36.162502
"Global Education Center, Multicultural Arts Center
4822 Charlotte Ave.",house,Dr. Fallon Wilson,4822 Charlotte Ave,Nashville,TN,37209,245915228,-86.845829 , 36.152053
"Casa Azafrán 2195 Nolensville Pike Nashville, TN 37211",community_centre,Creative Code Américas,2195 Nolensville Pike,Nashville,TN,37211,589307657,-86.753004 , 36.126647
"McGavock High School, workshop site, 3150 McGavock Pk",school,Rebecca Hoback and Ben Green,3150 McGavock Pk,Nashville,TN,37214,207474683,-86.67648 , 36.185147
"Looby Community Center
2301 Metro Center Blvd.",library,Cameron High Alumni Association,2301 Rosa L Parks Blvd,Nashville,TN,37228,368157455,-86.808126 , 36.193625
"Gordon Jewish Community Center, 810 Percy Warner Blvd",house,Rashad Donaldson,801 Percy Warner Blvd,Nashville,TN,37205,633979418,-86.89032 , 36.08364
"The Next Door, women’s addiction treatment center / workshop site, 402 22nd Ave N",house,Rebecca Hoback and Ben Green,402 22nd Ave N,Nashville,TN,37203,634001034,-86.80746 , 36.156938
"Fisk University Chapel, (performance venue), 1000 17th Avenue N.
Nashville, TN 37208.",university,Kristen Chapman Gibbons,1000 17th Avenue N,Nashville,TN,37208,465481425,-86.803869 , 36.167216
"Looby Branch Library
2301 Rosa Parks Blvd.",library,Ashley Mintz,2301 Rosa L Parks Blvd,Nashville,TN,37228,368157455,-86.808126 , 36.193625
"Room In The Inn 
Address:",house,Jamal “Jaefriz” Dotson,705 Drexel St.,Nashville,TN,37203,19452503,-86.778424 , 36.152774
"TSU New Media Space 3500 John A. Merritt Boulevard, Nashville, TN 37209",house,Big Blue Opera Intiative,3500 John A. Merritt Boulevard,Nashville,TN,37209,634020627,-86.828549 , 36.166975
